epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,414.977,0.0117,5.0894,1.95724,0.65764,0.0541,0.03733,0.02073,0.01211,3.77509,2.01795,0.00333057,0.00333057,0.00333057
2,805.737,0.01153,4.15392,1.94628,0.56751,0.12167,0.08915,0.05091,0.01231,3.29537,2.0794,0.00663092,0.00663092,0.00663092
3,1171.39,0.01147,3.81213,1.92196,0.47513,0.20203,0.16431,0.09226,0.01246,2.95481,2.05722,0.00989827,0.00989827,0.00989827
4,1506.96,0.01158,3.67983,1.92265,0.44914,0.19131,0.17874,0.09988,0.01265,2.84113,2.07452,0.0098515,0.0098515,0.0098515
5,1842.29,0.01138,3.36815,1.87169,0.55085,0.26717,0.29891,0.17322,0.01221,2.47218,1.98037,0.009802,0.009802,0.009802
6,2165.72,0.01119,3.12684,1.84115,0.49584,0.30609,0.32986,0.18555,0.01238,2.32456,2.00038,0.0097525,0.0097525,0.0097525
7,2486.56,0.0111,2.9134,1.81714,0.60306,0.30506,0.40982,0.24256,0.01166,2.09561,1.89135,0.009703,0.009703,0.009703
8,2805.11,0.01097,2.73505,1.79316,0.56382,0.4099,0.44794,0.24928,0.01186,2.01203,1.89106,0.0096535,0.0096535,0.0096535
9,3174.94,0.01083,2.60647,1.78106,0.57571,0.41853,0.51326,0.29282,0.01195,1.88094,1.89359,0.009604,0.009604,0.009604
10,3528.42,0.01083,2.47154,1.77035,0.57336,0.44441,0.5116,0.28967,0.01189,1.86104,1.89616,0.0095545,0.0095545,0.0095545
11,3870.39,0.01082,2.39178,1.77195,0.63305,0.44303,0.55235,0.32201,0.01163,1.79305,1.84722,0.009505,0.009505,0.009505
12,4196.58,0.01068,2.3258,1.75474,0.56718,0.5043,0.56275,0.33931,0.01139,1.67054,1.80106,0.0094555,0.0094555,0.0094555
13,4534.07,0.01059,2.25627,1.73731,0.60641,0.48725,0.58279,0.3489,0.0115,1.65409,1.80137,0.009406,0.009406,0.009406
14,4851.03,0.0106,2.20899,1.73759,0.60454,0.51731,0.57867,0.33591,0.01176,1.59237,1.83858,0.0093565,0.0093565,0.0093565
15,5212.7,0.01051,2.14688,1.72004,0.70739,0.50253,0.61456,0.3627,0.01173,1.55414,1.83282,0.009307,0.009307,0.009307
