epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,504.244,1.95993,6.30217,2.51284,0.0019,0.02571,0.00154,0.00043,1.98295,5.09008,2.36313,1.23282e-05,1.23282e-05,1.23282e-05
2,882.701,1.68737,5.72661,2.20408,0.56725,0.01261,0.00547,0.00152,2.05687,4.61885,2.36621,2.22201e-05,2.22201e-05,2.22201e-05
3,1355.31,1.65865,5.38758,2.13926,0.6274,0.02792,0.01439,0.00485,2.09181,4.26047,2.31122,2.96699e-05,2.96699e-05,2.96699e-05
4,1892.35,1.64402,5.1148,2.10469,0.62297,0.03893,0.02185,0.00774,2.10793,4.04671,2.26518,2.6011e-05,2.6011e-05,2.6011e-05
5,2422.01,1.60815,4.92449,2.05614,0.58371,0.04779,0.02958,0.01074,2.12948,3.94169,2.28334,2.2348e-05,2.2348e-05,2.2348e-05
6,2878.16,1.59003,4.78644,2.01392,0.58406,0.05305,0.03393,0.01243,2.12096,3.79828,2.23546,1.8685e-05,1.8685e-05,1.8685e-05
7,3253.44,1.5637,4.67216,1.99051,0.59965,0.05529,0.04038,0.01619,2.10093,3.73318,2.20431,1.5022e-05,1.5022e-05,1.5022e-05
8,3624.25,1.54725,4.60764,1.9722,0.61411,0.05995,0.04413,0.01814,2.06964,3.67701,2.16788,1.1359e-05,1.1359e-05,1.1359e-05
9,3995.24,1.53589,4.54999,1.96294,0.58185,0.06605,0.04757,0.02005,2.05252,3.63329,2.13931,7.696e-06,7.696e-06,7.696e-06
10,4258.47,1.5285,4.51758,1.94142,0.62868,0.06167,0.0477,0.02071,2.04739,3.60968,2.12824,4.033e-06,4.033e-06,4.033e-06
