epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.3193,1.9796,5.75956,2.27875,0.00024,0.00035,0.00013,0.00013,1.36313,5.14207,1.68458,1.23161e-05,1.23161e-05,1.23161e-05
2,157.566,1.59967,5.57303,1.96495,0.00363,0.1142,0.00647,0.00248,1.69929,4.67052,1.98377,2.3836e-05,2.3836e-05,2.3836e-05
3,230.597,1.51724,5.23353,1.88013,0.57242,0.02367,0.01024,0.00333,1.75374,4.3795,1.97627,3.45419e-05,3.45419e-05,3.45419e-05
4,306.415,1.53277,5.02365,1.87479,0.62158,0.02541,0.0199,0.00584,1.87466,4.11277,2.09127,3.3337e-05,3.3337e-05,3.3337e-05
5,389.859,1.51443,4.79586,1.85484,0.63254,0.0553,0.02943,0.00871,1.96628,3.90511,2.14407,3.2116e-05,3.2116e-05,3.2116e-05
6,465.802,1.51467,4.63348,1.85882,0.61488,0.06308,0.04251,0.01458,1.85148,3.62495,2.01483,3.0895e-05,3.0895e-05,3.0895e-05
7,569.447,1.53206,4.48863,1.8671,0.62458,0.07813,0.05621,0.01824,1.97697,3.50961,2.11734,2.9674e-05,2.9674e-05,2.9674e-05
8,651.814,1.51087,4.39544,1.85335,0.65147,0.08837,0.06831,0.02325,1.95207,3.32375,2.0734,2.8453e-05,2.8453e-05,2.8453e-05
9,729.227,1.49564,4.30867,1.83723,0.65217,0.10026,0.0828,0.02838,1.98469,3.23259,2.08262,2.7232e-05,2.7232e-05,2.7232e-05
10,861.197,1.49361,4.21518,1.83048,0.70023,0.10667,0.10072,0.03587,1.94287,3.06025,2.04258,2.6011e-05,2.6011e-05,2.6011e-05
11,1002.63,1.47553,4.09885,1.81055,0.67391,0.11148,0.10642,0.04165,1.88998,3.0272,1.99186,2.479e-05,2.479e-05,2.479e-05
12,1204.53,1.47942,4.10051,1.81739,0.68654,0.10865,0.11217,0.04272,1.94848,2.97634,2.03677,2.3569e-05,2.3569e-05,2.3569e-05
13,1352.21,1.46422,4.00922,1.79956,0.62017,0.1368,0.12311,0.04841,1.96927,2.91877,2.05034,2.2348e-05,2.2348e-05,2.2348e-05
14,1475.39,1.47629,3.98789,1.80203,0.61058,0.14902,0.12871,0.05538,1.86058,2.80974,1.94774,2.1127e-05,2.1127e-05,2.1127e-05
15,1643.67,1.46206,3.92077,1.79261,0.68681,0.13001,0.13661,0.055,1.98203,2.81857,2.03813,1.9906e-05,1.9906e-05,1.9906e-05
16,1890.55,1.4628,3.88561,1.78388,0.68041,0.13476,0.14311,0.06049,1.92287,2.72436,1.99658,1.8685e-05,1.8685e-05,1.8685e-05
17,2149.04,1.43682,3.8556,1.77174,0.70522,0.12649,0.14615,0.05773,1.97792,2.77796,2.03864,1.7464e-05,1.7464e-05,1.7464e-05
18,2335.48,1.4516,3.84015,1.77402,0.67148,0.1344,0.15439,0.06875,1.86333,2.68116,1.93853,1.6243e-05,1.6243e-05,1.6243e-05
19,2619.49,1.42733,3.80268,1.75298,0.57877,0.1709,0.16088,0.06864,1.94036,2.65654,1.97967,1.5022e-05,1.5022e-05,1.5022e-05
20,2872.77,1.42568,3.78378,1.75852,0.5966,0.18635,0.16556,0.07716,1.83993,2.61378,1.89273,1.3801e-05,1.3801e-05,1.3801e-05
21,3073.1,1.28303,3.88805,1.75418,0.59755,0.1646,0.16428,0.07091,1.89716,2.59365,1.93406,1.258e-05,1.258e-05,1.258e-05
22,3221.56,1.26635,3.79634,1.75067,0.61998,0.15959,0.1783,0.08437,1.80116,2.50341,1.86263,1.1359e-05,1.1359e-05,1.1359e-05
23,3380.14,1.26121,3.73058,1.75201,0.62705,0.17241,0.1919,0.08817,1.82594,2.49394,1.8746,1.0138e-05,1.0138e-05,1.0138e-05
24,3564.12,1.24972,3.72891,1.71971,0.62586,0.18344,0.19453,0.09474,1.756,2.45695,1.81031,8.917e-06,8.917e-06,8.917e-06
25,3779.32,1.23111,3.67466,1.70795,0.61281,0.19157,0.19905,0.09389,1.81171,2.45903,1.8532,7.696e-06,7.696e-06,7.696e-06
26,3993.87,1.23029,3.64708,1.69923,0.62548,0.19311,0.20131,0.09557,1.78793,2.43212,1.83096,6.475e-06,6.475e-06,6.475e-06
27,4157.93,1.22638,3.63654,1.69241,0.58416,0.20146,0.20277,0.09733,1.77797,2.43224,1.82923,5.254e-06,5.254e-06,5.254e-06
28,4333.68,1.22923,3.62921,1.70872,0.58279,0.20931,0.20076,0.09814,1.75795,2.42239,1.81469,4.033e-06,4.033e-06,4.033e-06
29,4492.39,1.22662,3.60094,1.70612,0.5838,0.21131,0.20581,0.10052,1.76928,2.4131,1.81438,2.812e-06,2.812e-06,2.812e-06
30,4667.29,1.21929,3.61995,1.70457,0.67456,0.18015,0.20897,0.1013,1.77649,2.41493,1.81359,1.591e-06,1.591e-06,1.591e-06
