epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.0567,1.32606,5.66588,1.54167,0.0087,0.01037,0.00491,0.00313,1.11471,4.78291,1.38561,1.33152e-05,1.33152e-05,1.33152e-05
2,123.511,1.20985,5.16261,1.46473,0.00606,0.30793,0.02058,0.01372,1.10626,4.09727,1.45327,2.63848e-05,2.63848e-05,2.63848e-05
3,179.871,1.20741,4.7045,1.49733,0.62863,0.04328,0.04458,0.03137,1.13179,3.70423,1.49232,3.91903e-05,3.91903e-05,3.91903e-05
4,236.658,1.24363,4.38635,1.53607,0.5541,0.08377,0.07567,0.05323,1.13132,3.43083,1.52349,3.8812e-05,3.8812e-05,3.8812e-05
5,292.191,1.23545,4.07973,1.53477,0.50132,0.16276,0.12212,0.08856,1.12927,3.15672,1.5296,3.8416e-05,3.8416e-05,3.8416e-05
6,348.008,1.2267,3.88975,1.51779,0.61062,0.13602,0.16082,0.1156,1.1313,2.97382,1.5272,3.802e-05,3.802e-05,3.802e-05
7,403.984,1.23635,3.73068,1.54363,0.59737,0.18466,0.1967,0.14186,1.11271,2.79536,1.52035,3.7624e-05,3.7624e-05,3.7624e-05
8,459.71,1.22908,3.57964,1.53347,0.44949,0.25507,0.23184,0.17056,1.11869,2.72242,1.53326,3.7228e-05,3.7228e-05,3.7228e-05
9,515.714,1.23907,3.45804,1.53532,0.5463,0.26018,0.26086,0.19434,1.11622,2.58994,1.52888,3.6832e-05,3.6832e-05,3.6832e-05
10,571.211,1.22713,3.31335,1.52,0.42893,0.35709,0.28941,0.21769,1.11007,2.48372,1.51667,3.6436e-05,3.6436e-05,3.6436e-05
11,626.89,1.22459,3.22333,1.5224,0.57284,0.30403,0.31952,0.23697,1.11788,2.45653,1.5228,3.604e-05,3.604e-05,3.604e-05
12,682.62,1.21511,3.1333,1.52008,0.51214,0.35838,0.34185,0.25685,1.12131,2.34853,1.52742,3.5644e-05,3.5644e-05,3.5644e-05
13,737.861,1.21079,3.03569,1.50784,0.58968,0.34096,0.35755,0.26841,1.12691,2.30375,1.51935,3.5248e-05,3.5248e-05,3.5248e-05
14,793.238,1.19065,2.94334,1.4889,0.53672,0.37293,0.38743,0.29334,1.11867,2.24075,1.53165,3.4852e-05,3.4852e-05,3.4852e-05
15,848.587,1.19647,2.8628,1.4899,0.49846,0.38903,0.37661,0.28236,1.10126,2.20897,1.51351,3.4456e-05,3.4456e-05,3.4456e-05
16,904.3,1.20279,2.7818,1.50096,0.58578,0.39853,0.41538,0.31436,1.10167,2.12251,1.51191,3.406e-05,3.406e-05,3.406e-05
17,959.351,1.18756,2.73147,1.48799,0.57299,0.39695,0.42693,0.32412,1.11308,2.09229,1.51894,3.3664e-05,3.3664e-05,3.3664e-05
18,1014.69,1.18127,2.69558,1.47806,0.50405,0.45259,0.43767,0.33475,1.10401,2.05583,1.50647,3.3268e-05,3.3268e-05,3.3268e-05
19,1069.94,1.18645,2.62876,1.48175,0.55568,0.44269,0.46243,0.35286,1.09414,1.96926,1.49423,3.2872e-05,3.2872e-05,3.2872e-05
20,1125.18,1.17114,2.59437,1.47108,0.62566,0.39168,0.46229,0.35656,1.08929,1.97625,1.49082,3.2476e-05,3.2476e-05,3.2476e-05
21,1180.24,1.16695,2.55559,1.46805,0.58579,0.41181,0.47307,0.36006,1.08832,1.94043,1.49108,3.208e-05,3.208e-05,3.208e-05
22,1235.41,1.17491,2.49317,1.47686,0.60748,0.44492,0.48692,0.37354,1.09205,1.90032,1.49428,3.1684e-05,3.1684e-05,3.1684e-05
23,1290.69,1.14714,2.40157,1.45518,0.51061,0.50852,0.51312,0.39758,1.07329,1.86092,1.47847,3.1288e-05,3.1288e-05,3.1288e-05
24,1345.82,1.14433,2.35957,1.45523,0.60005,0.49064,0.53453,0.40944,1.07701,1.84149,1.47177,3.0892e-05,3.0892e-05,3.0892e-05
25,1400.97,1.14217,2.32702,1.45253,0.53907,0.52229,0.52814,0.40571,1.07126,1.83309,1.47063,3.0496e-05,3.0496e-05,3.0496e-05
26,1456.27,1.14096,2.30238,1.44559,0.56236,0.51027,0.53838,0.41517,1.06252,1.86998,1.46286,3.01e-05,3.01e-05,3.01e-05
27,1511.43,1.14507,2.26997,1.45083,0.51944,0.53803,0.5442,0.41943,1.07428,1.80194,1.46751,2.9704e-05,2.9704e-05,2.9704e-05
28,1566.4,1.1406,2.25568,1.44397,0.48742,0.576,0.55254,0.42801,1.05946,1.79366,1.45851,2.9308e-05,2.9308e-05,2.9308e-05
29,1621.67,1.11359,2.20922,1.42767,0.60224,0.51832,0.57227,0.4446,1.05684,1.71612,1.46136,2.8912e-05,2.8912e-05,2.8912e-05
30,1677.59,1.10937,2.14164,1.42659,0.61286,0.505,0.57257,0.44127,1.05664,1.69818,1.4562,2.8516e-05,2.8516e-05,2.8516e-05
31,1732.8,1.12637,2.15152,1.42977,0.54812,0.55878,0.57852,0.45007,1.04855,1.70202,1.44875,2.812e-05,2.812e-05,2.812e-05
32,1787.8,1.1045,2.10796,1.41159,0.62483,0.51168,0.58027,0.45273,1.06174,1.68896,1.45837,2.7724e-05,2.7724e-05,2.7724e-05
33,1843.01,1.09973,2.06555,1.41603,0.56994,0.56292,0.59084,0.45931,1.04685,1.63153,1.44398,2.7328e-05,2.7328e-05,2.7328e-05
34,1898.37,1.0863,2.02955,1.39935,0.59177,0.54602,0.59485,0.45806,1.05424,1.69945,1.45762,2.6932e-05,2.6932e-05,2.6932e-05
35,1953.07,1.08213,1.978,1.40705,0.57934,0.57898,0.59671,0.46525,1.05582,1.67286,1.45175,2.6536e-05,2.6536e-05,2.6536e-05
36,2008.41,1.09767,2.00969,1.40931,0.56358,0.60471,0.60395,0.4704,1.04393,1.62467,1.45034,2.614e-05,2.614e-05,2.614e-05
37,2063.68,1.09266,1.9853,1.41217,0.56556,0.61505,0.6114,0.4746,1.05536,1.60372,1.45278,2.5744e-05,2.5744e-05,2.5744e-05
38,2118.84,1.0695,1.93553,1.391,0.5312,0.6324,0.60991,0.47271,1.04557,1.61345,1.44871,2.5348e-05,2.5348e-05,2.5348e-05
39,2174.39,1.08869,1.9434,1.40213,0.54127,0.62679,0.62853,0.48913,1.04936,1.54931,1.44434,2.4952e-05,2.4952e-05,2.4952e-05
40,2230.32,1.06895,1.90047,1.38661,0.6108,0.58547,0.62295,0.48591,1.04439,1.5609,1.44499,2.4556e-05,2.4556e-05,2.4556e-05
41,2285.72,1.08222,1.88518,1.41137,0.62342,0.58653,0.62654,0.48741,1.04128,1.54939,1.44214,2.416e-05,2.416e-05,2.416e-05
42,2343,1.08,1.88091,1.39601,0.63275,0.59282,0.63684,0.49614,1.04589,1.52918,1.45081,2.3764e-05,2.3764e-05,2.3764e-05
43,2399.41,1.05312,1.83099,1.38341,0.61346,0.60693,0.63419,0.4925,1.04935,1.54069,1.44912,2.3368e-05,2.3368e-05,2.3368e-05
44,2454.71,1.05588,1.80444,1.38618,0.62308,0.61723,0.65258,0.50919,1.0461,1.52136,1.44654,2.2972e-05,2.2972e-05,2.2972e-05
45,2510.47,1.04685,1.83921,1.37837,0.63844,0.61471,0.65054,0.51027,1.03815,1.50714,1.44379,2.2576e-05,2.2576e-05,2.2576e-05
