epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.4411,1.24203,5.70839,1.46828,0.00452,0.01448,0.004,0.00246,1.09338,4.80627,1.3299,1.23161e-05,1.23161e-05,1.23161e-05
2,181.959,1.12327,5.21705,1.37653,0.00453,0.23824,0.01313,0.00902,1.06631,4.05043,1.40684,2.3836e-05,2.3836e-05,2.3836e-05
3,267.67,1.12966,4.77136,1.42067,0.68962,0.04042,0.04162,0.02838,1.05651,3.64112,1.41874,3.45419e-05,3.45419e-05,3.45419e-05
4,347.96,1.14799,4.46944,1.44946,0.70294,0.06171,0.06436,0.04347,1.05802,3.31341,1.4483,3.3337e-05,3.3337e-05,3.3337e-05
5,430.481,1.12218,4.17895,1.42887,0.66098,0.09066,0.08653,0.0593,1.05974,3.04748,1.47013,3.2116e-05,3.2116e-05,3.2116e-05
6,513.231,1.12898,3.96226,1.44961,0.63051,0.12275,0.11391,0.07981,1.0412,2.83692,1.44156,3.0895e-05,3.0895e-05,3.0895e-05
7,596.02,1.12893,3.75808,1.44426,0.67243,0.13588,0.1377,0.09783,1.04371,2.693,1.44999,2.9674e-05,2.9674e-05,2.9674e-05
8,675.831,1.13818,3.65627,1.45833,0.69465,0.15516,0.1612,0.11651,1.04957,2.54908,1.45976,2.8453e-05,2.8453e-05,2.8453e-05
9,756.011,1.10254,3.54788,1.42102,0.71835,0.15641,0.17573,0.12871,1.03781,2.44666,1.45417,2.7232e-05,2.7232e-05,2.7232e-05
10,836.18,1.11278,3.43423,1.43177,0.67304,0.19926,0.20138,0.14837,1.03298,2.33435,1.4459,2.6011e-05,2.6011e-05,2.6011e-05
11,917.649,1.10972,3.30215,1.42802,0.70135,0.19437,0.23329,0.16977,1.02936,2.27606,1.45047,2.479e-05,2.479e-05,2.479e-05
12,997.949,1.10054,3.25279,1.43315,0.68359,0.19431,0.24523,0.1781,1.03254,2.22357,1.44932,2.3569e-05,2.3569e-05,2.3569e-05
13,1078.12,1.09342,3.18078,1.41165,0.6531,0.23547,0.26635,0.19699,1.03012,2.14605,1.44636,2.2348e-05,2.2348e-05,2.2348e-05
14,1158.86,1.09368,3.1054,1.4073,0.70313,0.22962,0.27163,0.20345,1.00907,2.09367,1.4292,2.1127e-05,2.1127e-05,2.1127e-05
15,1239.57,1.09147,3.08263,1.41403,0.65962,0.25307,0.28156,0.21123,1.0267,2.0725,1.44148,1.9906e-05,1.9906e-05,1.9906e-05
16,1320.18,1.09135,3.00914,1.40304,0.64333,0.26811,0.29724,0.22251,1.01015,2.03781,1.43512,1.8685e-05,1.8685e-05,1.8685e-05
17,1399.2,1.0759,2.97776,1.39346,0.69527,0.2696,0.31068,0.23254,1.01109,2.00627,1.4333,1.7464e-05,1.7464e-05,1.7464e-05
18,1479.26,1.08799,2.94378,1.40097,0.73953,0.26269,0.32153,0.24172,1.01082,1.96416,1.43479,1.6243e-05,1.6243e-05,1.6243e-05
19,1559.34,1.06811,2.87805,1.38394,0.66376,0.29549,0.3299,0.24764,1.00769,1.9296,1.43166,1.5022e-05,1.5022e-05,1.5022e-05
20,1640.75,1.06971,2.87977,1.3879,0.64569,0.30806,0.33313,0.25154,1.00707,1.92495,1.43096,1.3801e-05,1.3801e-05,1.3801e-05
21,1726.19,0.98033,3.18754,1.40343,0.7185,0.26481,0.32355,0.2467,1.00202,1.93429,1.41555,1.258e-05,1.258e-05,1.258e-05
22,1809.6,0.96748,3.06248,1.39355,0.65626,0.29703,0.33015,0.25326,0.99784,1.90434,1.40758,1.1359e-05,1.1359e-05,1.1359e-05
23,1894.48,0.96153,2.99964,1.3937,0.65833,0.30436,0.34676,0.26334,0.99701,1.90511,1.40483,1.0138e-05,1.0138e-05,1.0138e-05
24,1977.51,0.95623,2.98638,1.38154,0.74113,0.26915,0.35003,0.26837,1.00016,1.8523,1.40714,8.917e-06,8.917e-06,8.917e-06
25,2063.66,0.95823,2.93804,1.38668,0.59941,0.34621,0.3536,0.271,0.99414,1.85558,1.39922,7.696e-06,7.696e-06,7.696e-06
26,2148.1,0.95506,2.9214,1.37485,0.66763,0.31404,0.35434,0.27158,0.99322,1.83565,1.39611,6.475e-06,6.475e-06,6.475e-06
27,2231.43,0.94921,2.91174,1.36585,0.64009,0.32004,0.36141,0.27884,0.99329,1.82912,1.39902,5.254e-06,5.254e-06,5.254e-06
28,2316.62,0.95866,2.88819,1.37731,0.63733,0.32189,0.36387,0.28137,0.99067,1.83688,1.39603,4.033e-06,4.033e-06,4.033e-06
29,2397.34,0.94413,2.88745,1.37368,0.75761,0.26291,0.36793,0.28446,0.98548,1.8197,1.39127,2.812e-06,2.812e-06,2.812e-06
30,2480.26,0.94891,2.86617,1.37366,0.56559,0.35796,0.37258,0.28818,0.98749,1.81785,1.39029,1.591e-06,1.591e-06,1.591e-06
