epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,330.439,1.73903,6.2831,2.03548,0.00234,0.11284,0.00393,0.00262,1.64658,4.66602,1.92032,1.23282e-05,1.23282e-05,1.23282e-05
2,653.13,1.61239,5.70331,1.88256,0.63804,0.02137,0.01174,0.00784,1.57335,4.16947,1.83433,2.22201e-05,2.22201e-05,2.22201e-05
3,975.995,1.56908,5.35818,1.82315,0.60507,0.04247,0.02392,0.01642,1.53469,3.91756,1.79494,2.96699e-05,2.96699e-05,2.96699e-05
4,1296.55,1.54171,5.07171,1.78706,0.64404,0.05647,0.04055,0.02882,1.50081,3.65677,1.75498,2.6011e-05,2.6011e-05,2.6011e-05
5,1615.75,1.51526,4.84569,1.74521,0.61672,0.06747,0.05395,0.03942,1.48271,3.51617,1.74509,2.2348e-05,2.2348e-05,2.2348e-05
6,1934.01,1.49045,4.66005,1.71182,0.61828,0.07893,0.06782,0.04931,1.4696,3.38811,1.71025,1.8685e-05,1.8685e-05,1.8685e-05
7,2250.66,1.48081,4.52088,1.69829,0.6173,0.08775,0.08028,0.0592,1.45624,3.28546,1.6882,1.5022e-05,1.5022e-05,1.5022e-05
8,2568.84,1.46544,4.4294,1.67931,0.648,0.08942,0.08713,0.06361,1.45643,3.22299,1.69644,1.1359e-05,1.1359e-05,1.1359e-05
9,2885.8,1.45654,4.34035,1.67451,0.56046,0.11203,0.09219,0.06708,1.45307,3.16167,1.67931,7.696e-06,7.696e-06,7.696e-06
10,3200.87,1.45193,4.30151,1.66603,0.57226,0.10844,0.09681,0.07117,1.44249,3.1637,1.67593,4.033e-06,4.033e-06,4.033e-06
