epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,402.523,1.70471,5.71291,1.91732,0.00424,0.05248,0.00414,0.00228,1.72313,4.92511,1.93662,1.23231e-05,1.23231e-05,1.23231e-05
2,809.694,1.51631,5.36384,1.73963,0.74548,0.0152,0.01477,0.00842,1.69665,4.45149,1.88467,2.38428e-05,2.38428e-05,2.38428e-05
3,1222.29,1.51846,5.00605,1.73664,0.732,0.03822,0.03503,0.02165,1.68608,4.03195,1.88992,3.45485e-05,3.45485e-05,3.45485e-05
4,1640.25,1.53117,4.65273,1.73083,0.62217,0.05891,0.05426,0.03181,1.71058,3.5536,1.84049,3.3337e-05,3.3337e-05,3.3337e-05
5,2053.75,1.52952,4.34157,1.7116,0.58399,0.08427,0.07586,0.04434,1.73527,3.28343,1.8672,3.2116e-05,3.2116e-05,3.2116e-05
6,2475.42,1.50434,4.10969,1.68197,0.62604,0.10413,0.10505,0.06307,1.68971,3.10023,1.84549,3.0895e-05,3.0895e-05,3.0895e-05
7,2915.55,1.49341,3.92045,1.66683,0.64989,0.11854,0.13094,0.07955,1.66191,2.89383,1.77923,2.9674e-05,2.9674e-05,2.9674e-05
8,3350.93,1.47497,3.75273,1.65244,0.6031,0.1373,0.1541,0.09696,1.61628,2.76701,1.7408,2.8453e-05,2.8453e-05,2.8453e-05
9,3798.12,1.46374,3.62843,1.63738,0.64703,0.14529,0.17223,0.11511,1.55474,2.64981,1.71462,2.7232e-05,2.7232e-05,2.7232e-05
10,4237.64,1.45436,3.49962,1.62736,0.59809,0.17481,0.19923,0.12901,1.57732,2.53819,1.71619,2.6011e-05,2.6011e-05,2.6011e-05
11,4679.79,1.44974,3.41194,1.62251,0.60366,0.19866,0.21564,0.1426,1.55036,2.46498,1.69384,2.479e-05,2.479e-05,2.479e-05
12,5101.15,1.42798,3.30883,1.60122,0.62406,0.21124,0.23673,0.15405,1.57508,2.41121,1.72076,2.3569e-05,2.3569e-05,2.3569e-05
13,5513.73,1.42079,3.23174,1.60201,0.60203,0.23153,0.25835,0.1681,1.5468,2.33576,1.69819,2.2348e-05,2.2348e-05,2.2348e-05
14,5949.56,1.42867,3.16754,1.59971,0.61287,0.23965,0.2702,0.18054,1.52326,2.28066,1.67846,2.1127e-05,2.1127e-05,2.1127e-05
15,6397.88,1.41259,3.11338,1.58782,0.64433,0.24428,0.29027,0.19092,1.53712,2.23637,1.68797,1.9906e-05,1.9906e-05,1.9906e-05
16,6843.03,1.40479,3.04411,1.57759,0.58318,0.2719,0.30582,0.2057,1.51317,2.18654,1.66399,1.8685e-05,1.8685e-05,1.8685e-05
17,7272.83,1.38883,2.9822,1.5649,0.59531,0.27596,0.31642,0.21695,1.49799,2.13604,1.65596,1.7464e-05,1.7464e-05,1.7464e-05
18,7738.65,1.38928,2.92362,1.56122,0.6392,0.26977,0.33498,0.22393,1.51317,2.10424,1.66653,1.6243e-05,1.6243e-05,1.6243e-05
19,8182.62,1.37875,2.88967,1.55595,0.6166,0.29244,0.34416,0.23392,1.48087,2.07299,1.63397,1.5022e-05,1.5022e-05,1.5022e-05
20,8622.78,1.37734,2.85216,1.55204,0.6078,0.30561,0.35073,0.23647,1.48775,2.04259,1.63683,1.3801e-05,1.3801e-05,1.3801e-05
21,9117.35,1.31562,2.81476,1.56623,0.60309,0.31961,0.35097,0.23858,1.45948,2.02659,1.60537,1.258e-05,1.258e-05,1.258e-05
22,9596.13,1.30384,2.71698,1.55341,0.6328,0.31687,0.3669,0.25139,1.44537,1.96512,1.59424,1.1359e-05,1.1359e-05,1.1359e-05
23,10113.2,1.28781,2.66706,1.54214,0.64111,0.32015,0.37705,0.25661,1.44667,1.9474,1.59554,1.0138e-05,1.0138e-05,1.0138e-05
24,10620.3,1.27243,2.60383,1.52685,0.61422,0.33574,0.3882,0.26932,1.43237,1.91694,1.58458,8.917e-06,8.917e-06,8.917e-06
25,11084.4,1.26912,2.57668,1.5242,0.64119,0.33494,0.39235,0.26951,1.43176,1.90834,1.58158,7.696e-06,7.696e-06,7.696e-06
26,11572.3,1.26158,2.56527,1.5151,0.62379,0.35032,0.40509,0.28012,1.41884,1.88806,1.5705,6.475e-06,6.475e-06,6.475e-06
27,12105.4,1.24931,2.52168,1.50356,0.63896,0.33523,0.40874,0.28294,1.41801,1.88188,1.56683,5.254e-06,5.254e-06,5.254e-06
28,12609.4,1.24916,2.50246,1.50692,0.6352,0.3464,0.41233,0.28503,1.41982,1.86839,1.56695,4.033e-06,4.033e-06,4.033e-06
29,13141.7,1.24393,2.48312,1.5025,0.62563,0.3506,0.41757,0.28791,1.41897,1.85439,1.56606,2.812e-06,2.812e-06,2.812e-06
30,13623.5,1.24222,2.47527,1.50123,0.63161,0.35388,0.41617,0.28701,1.41583,1.8508,1.56106,1.591e-06,1.591e-06,1.591e-06
