epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,571.701,0.0117,5.0894,1.95724,0.65764,0.0541,0.03733,0.02073,0.01211,3.77509,2.01795,0.00333057,0.00333057,0.00333057
2,1260.86,0.01154,4.15199,1.94808,0.56212,0.12445,0.09743,0.05894,0.01185,3.20196,2.02245,0.00659793,0.00659793,0.00659793
3,1980,0.01146,3.80959,1.92494,0.51319,0.14145,0.13327,0.0741,0.01235,3.0772,2.02229,0.00979929,0.00979929,0.00979929
4,2710.03,0.01156,3.67031,1.92282,0.45242,0.22366,0.21372,0.12074,0.0126,2.71132,2.03431,0.009703,0.009703,0.009703
5,3435.61,0.01138,3.36776,1.87464,0.46488,0.26463,0.27157,0.15027,0.01251,2.49557,2.03202,0.009604,0.009604,0.009604
6,4180.36,0.01121,3.12706,1.85068,0.49261,0.30798,0.3406,0.19783,0.0121,2.30595,1.95899,0.009505,0.009505,0.009505
7,4954.91,0.01109,2.91247,1.82337,0.61408,0.30666,0.41314,0.24461,0.01168,2.12262,1.89721,0.009406,0.009406,0.009406
8,5670.83,0.01091,2.73434,1.7949,0.57988,0.41888,0.45949,0.25454,0.01203,2.00102,1.89742,0.009307,0.009307,0.009307
9,6381.45,0.01082,2.59834,1.78152,0.56526,0.45037,0.50091,0.28389,0.01184,1.88683,1.88639,0.009208,0.009208,0.009208
10,7077.39,0.01081,2.47765,1.77168,0.59833,0.43705,0.51199,0.28978,0.01179,1.82355,1.88268,0.009109,0.009109,0.009109
11,7806.39,0.01076,2.385,1.77008,0.60382,0.46226,0.52829,0.31211,0.01185,1.79551,1.86996,0.00901,0.00901,0.00901
12,8640.48,0.01067,2.3271,1.75579,0.54263,0.53652,0.5723,0.34406,0.01143,1.68718,1.82069,0.008911,0.008911,0.008911
13,9451.93,0.01055,2.24147,1.73363,0.62552,0.47785,0.56944,0.33319,0.01145,1.66181,1.81399,0.008812,0.008812,0.008812
14,10307.9,0.01058,2.19595,1.74134,0.62699,0.53749,0.60798,0.34379,0.01177,1.58385,1.85623,0.008713,0.008713,0.008713
15,11217.1,0.0105,2.13593,1.72144,0.66381,0.51992,0.62682,0.36846,0.01156,1.55974,1.82852,0.008614,0.008614,0.008614
16,12083.2,0.01046,2.08168,1.71646,0.64887,0.54754,0.64069,0.37893,0.01163,1.50276,1.81266,0.008515,0.008515,0.008515
17,12962,0.01038,2.01823,1.6999,0.69021,0.56504,0.66702,0.37805,0.01162,1.45893,1.82033,0.008416,0.008416,0.008416
18,13874.5,0.01035,2.00838,1.70744,0.63136,0.6067,0.66579,0.38855,0.01157,1.42856,1.82001,0.008317,0.008317,0.008317
19,14812.1,0.01029,1.97004,1.69115,0.72709,0.58297,0.70002,0.40119,0.01163,1.38228,1.81617,0.008218,0.008218,0.008218
20,15710.4,0.01022,1.94213,1.68781,0.69142,0.6134,0.69232,0.41177,0.01143,1.35908,1.79447,0.008119,0.008119,0.008119
21,16680.5,0.01022,1.92434,1.68238,0.70855,0.59951,0.7009,0.41894,0.01121,1.33128,1.76821,0.00802,0.00802,0.00802
22,17574.7,0.01017,1.87073,1.67135,0.73437,0.61846,0.72913,0.43528,0.01125,1.31487,1.77238,0.007921,0.007921,0.007921
23,18474.5,0.01014,1.8448,1.66625,0.70766,0.62512,0.71633,0.42861,0.01108,1.29108,1.7599,0.007822,0.007822,0.007822
24,19451.4,0.01012,1.83021,1.67011,0.73176,0.62738,0.72406,0.43597,0.01109,1.26363,1.7575,0.007723,0.007723,0.007723
25,20372.3,0.01009,1.8055,1.66221,0.72482,0.63575,0.72418,0.43404,0.01122,1.25689,1.76342,0.007624,0.007624,0.007624
26,21083.7,0.01002,1.78037,1.65014,0.75116,0.63355,0.74028,0.43475,0.01125,1.23268,1.75936,0.007525,0.007525,0.007525
27,21948.9,0.00995,1.76364,1.64253,0.7081,0.6681,0.74253,0.44981,0.01108,1.21891,1.73865,0.007426,0.007426,0.007426
28,22788.3,0.00997,1.75462,1.64867,0.72546,0.66209,0.75626,0.45639,0.01109,1.17974,1.75225,0.007327,0.007327,0.007327
29,23611,0.00993,1.72454,1.6397,0.75009,0.66612,0.76558,0.45831,0.01096,1.17578,1.73101,0.007228,0.007228,0.007228
30,24471.4,0.00989,1.71559,1.64093,0.73815,0.68412,0.76446,0.47077,0.0109,1.15767,1.72661,0.007129,0.007129,0.007129
31,25280.8,0.00985,1.6909,1.62698,0.75575,0.65722,0.77524,0.46801,0.01106,1.14523,1.74483,0.00703,0.00703,0.00703
32,26124,0.00985,1.67348,1.62639,0.77665,0.65749,0.77542,0.46694,0.01104,1.14181,1.72901,0.006931,0.006931,0.006931
33,27017.6,0.00978,1.66589,1.62394,0.69897,0.72523,0.78845,0.47423,0.01113,1.13215,1.74896,0.006832,0.006832,0.006832
34,27860.7,0.00975,1.62154,1.61837,0.71144,0.73638,0.79644,0.48558,0.01081,1.10165,1.71346,0.006733,0.006733,0.006733
35,28711,0.00976,1.61642,1.62186,0.75648,0.70346,0.79699,0.48482,0.01068,1.08713,1.70076,0.006634,0.006634,0.006634
36,29372.3,0.00968,1.59598,1.6068,0.76729,0.70038,0.79321,0.48744,0.01083,1.07797,1.70985,0.006535,0.006535,0.006535
37,30064,0.00972,1.59512,1.61499,0.73805,0.73767,0.81475,0.50046,0.01068,1.05998,1.69872,0.006436,0.006436,0.006436
38,30749.9,0.00971,1.59178,1.61101,0.711,0.75312,0.81014,0.50512,0.01061,1.05152,1.68348,0.006337,0.006337,0.006337
39,31405.2,0.00961,1.55578,1.59584,0.74398,0.7471,0.81521,0.5121,0.0104,1.02671,1.66014,0.006238,0.006238,0.006238
40,32138.2,0.00965,1.56646,1.60618,0.82706,0.69544,0.81856,0.51864,0.01024,1.02519,1.64934,0.006139,0.006139,0.006139
41,32910.8,0.00958,1.55504,1.59727,0.7734,0.73325,0.82792,0.51912,0.01028,1.01811,1.64498,0.00604,0.00604,0.00604
42,33626.1,0.00955,1.54217,1.59317,0.77416,0.73942,0.83025,0.52002,0.01017,1.01401,1.63616,0.005941,0.005941,0.005941
43,34311.2,0.00957,1.52334,1.59648,0.75377,0.75768,0.82184,0.51918,0.01025,0.99527,1.65174,0.005842,0.005842,0.005842
