epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.364,0.01068,5.57604,1.78697,0.00252,0.0275,0.00249,0.00136,0.00827,4.8809,1.47616,1.2299e-05,1.2299e-05,1.2299e-05
2,256.837,0.00888,5.20054,1.58559,0.00533,0.2221,0.01499,0.00891,0.00892,4.12407,1.5889,2.43885e-05,2.43885e-05,2.43885e-05
3,379.904,0.00898,4.7442,1.62734,0.70314,0.0528,0.04594,0.02484,0.00937,3.65409,1.64269,3.62337e-05,3.62337e-05,3.62337e-05
4,485.882,0.00911,4.40023,1.66062,0.68391,0.09667,0.08234,0.04429,0.00973,3.28492,1.70075,3.59011e-05,3.59011e-05,3.59011e-05
5,594.157,0.00913,4.09913,1.66706,0.77341,0.10296,0.11122,0.06449,0.00966,3.00051,1.70595,3.55348e-05,3.55348e-05,3.55348e-05
6,696.433,0.00913,3.88788,1.67631,0.69394,0.14003,0.14254,0.08486,0.00947,2.80287,1.68743,3.51685e-05,3.51685e-05,3.51685e-05
7,802.14,0.00905,3.72831,1.66317,0.68803,0.1608,0.17811,0.10491,0.00974,2.64545,1.72024,3.48022e-05,3.48022e-05,3.48022e-05
8,903.312,0.00909,3.5851,1.6797,0.69727,0.18096,0.20256,0.12071,0.00981,2.4818,1.73356,3.44359e-05,3.44359e-05,3.44359e-05
9,1009.61,0.00915,3.44999,1.6798,0.60508,0.23978,0.22443,0.13238,0.0101,2.38386,1.75259,3.40696e-05,3.40696e-05,3.40696e-05
10,1111.32,0.0091,3.29116,1.67698,0.64123,0.2469,0.24861,0.14593,0.01013,2.23429,1.76069,3.37033e-05,3.37033e-05,3.37033e-05
11,1207.85,0.00901,3.19864,1.66649,0.63436,0.26374,0.27335,0.16606,0.00967,2.17566,1.7192,3.3337e-05,3.3337e-05,3.3337e-05
12,1307.92,0.009,3.15209,1.66616,0.67282,0.28852,0.30495,0.19123,0.00955,2.08986,1.69491,3.29707e-05,3.29707e-05,3.29707e-05
13,1408.28,0.00901,3.03163,1.66502,0.74314,0.26405,0.32719,0.19894,0.00982,2.02035,1.72481,3.26044e-05,3.26044e-05,3.26044e-05
14,1511.68,0.00896,2.96826,1.65402,0.69258,0.30205,0.33839,0.20737,0.00966,1.97856,1.70936,3.22381e-05,3.22381e-05,3.22381e-05
15,1606.92,0.009,2.92916,1.65714,0.69407,0.31137,0.34574,0.2057,0.00997,1.94744,1.72647,3.18718e-05,3.18718e-05,3.18718e-05
16,1708.28,0.00892,2.86862,1.65288,0.60527,0.35029,0.36884,0.22537,0.00981,1.87381,1.71456,3.15055e-05,3.15055e-05,3.15055e-05
17,1805.95,0.00893,2.80191,1.65225,0.72323,0.32159,0.3898,0.24295,0.00938,1.84012,1.66991,3.11392e-05,3.11392e-05,3.11392e-05
18,1912.21,0.00883,2.75787,1.64454,0.60511,0.36987,0.39708,0.24594,0.0095,1.79864,1.67233,3.07729e-05,3.07729e-05,3.07729e-05
19,2016.5,0.00891,2.68522,1.64284,0.6323,0.38559,0.40747,0.25054,0.00973,1.7705,1.70466,3.04066e-05,3.04066e-05,3.04066e-05
20,2123.35,0.00877,2.67528,1.62859,0.69303,0.34973,0.41588,0.26737,0.00922,1.72533,1.64951,3.00403e-05,3.00403e-05,3.00403e-05
21,2224.64,0.00887,2.63183,1.64204,0.64603,0.39543,0.44691,0.28158,0.00955,1.68218,1.68429,2.9674e-05,2.9674e-05,2.9674e-05
22,2325.46,0.00876,2.53695,1.6295,0.65435,0.40592,0.44373,0.2793,0.00927,1.65781,1.64819,2.93077e-05,2.93077e-05,2.93077e-05
23,2430.13,0.00868,2.52629,1.61009,0.63935,0.41786,0.46366,0.28902,0.00974,1.6398,1.70465,2.89414e-05,2.89414e-05,2.89414e-05
24,2533.54,0.00875,2.46561,1.61525,0.65707,0.42091,0.47759,0.30096,0.00964,1.60519,1.68228,2.85751e-05,2.85751e-05,2.85751e-05
25,2637.07,0.00865,2.4464,1.61162,0.67664,0.4095,0.48585,0.30255,0.00969,1.57831,1.69576,2.82088e-05,2.82088e-05,2.82088e-05
26,2740.53,0.00866,2.4359,1.60857,0.63983,0.45386,0.49041,0.30565,0.00974,1.57313,1.70524,2.78425e-05,2.78425e-05,2.78425e-05
27,2846.49,0.00862,2.37408,1.60669,0.69229,0.42161,0.50544,0.32425,0.00943,1.55074,1.66464,2.74762e-05,2.74762e-05,2.74762e-05
28,2951.53,0.00854,2.35985,1.59786,0.65448,0.45909,0.52597,0.33653,0.00949,1.52852,1.66724,2.71099e-05,2.71099e-05,2.71099e-05
29,3052.15,0.00867,2.37276,1.61148,0.62851,0.48341,0.53921,0.34362,0.00947,1.48054,1.66191,2.67436e-05,2.67436e-05,2.67436e-05
30,3151.63,0.0087,2.33041,1.60988,0.64251,0.4874,0.53724,0.33839,0.00974,1.49549,1.70548,2.63773e-05,2.63773e-05,2.63773e-05
31,3254.41,0.0086,2.2523,1.59402,0.63973,0.47208,0.53676,0.33921,0.00955,1.48052,1.67052,2.6011e-05,2.6011e-05,2.6011e-05
32,3356.48,0.00854,2.24187,1.58275,0.69569,0.46617,0.55599,0.3617,0.00918,1.4608,1.627,2.56447e-05,2.56447e-05,2.56447e-05
33,3458.22,0.0086,2.24832,1.59594,0.6786,0.48211,0.57072,0.36873,0.00937,1.44004,1.65259,2.52784e-05,2.52784e-05,2.52784e-05
34,3564.84,0.00865,2.22045,1.59989,0.66443,0.48847,0.55602,0.35807,0.00947,1.43675,1.66948,2.49121e-05,2.49121e-05,2.49121e-05
35,3668.03,0.00846,2.18535,1.57646,0.67614,0.50278,0.58237,0.37528,0.00937,1.41651,1.65236,2.45458e-05,2.45458e-05,2.45458e-05
36,3772.01,0.00835,2.12875,1.56469,0.69762,0.49962,0.57898,0.38043,0.00905,1.39176,1.62124,2.41795e-05,2.41795e-05,2.41795e-05
37,3873.58,0.00847,2.18642,1.57542,0.67822,0.5164,0.5991,0.40955,0.00861,1.363,1.58221,2.38132e-05,2.38132e-05,2.38132e-05
38,3974.52,0.00854,2.13084,1.58087,0.70539,0.51277,0.60066,0.39743,0.00901,1.35052,1.61744,2.34469e-05,2.34469e-05,2.34469e-05
39,4077.79,0.00841,2.11923,1.57211,0.70568,0.52899,0.61253,0.39912,0.00928,1.34824,1.6454,2.30806e-05,2.30806e-05,2.30806e-05
40,4180.82,0.00851,2.10854,1.58235,0.65176,0.56832,0.62427,0.41286,0.00908,1.32487,1.61309,2.27143e-05,2.27143e-05,2.27143e-05
41,4282.89,0.00846,2.08722,1.5673,0.67813,0.55211,0.62718,0.42468,0.00871,1.30826,1.58067,2.2348e-05,2.2348e-05,2.2348e-05
42,4384.63,0.00839,2.05038,1.56656,0.64949,0.57137,0.61296,0.40508,0.0092,1.33714,1.63485,2.19817e-05,2.19817e-05,2.19817e-05
43,4488.53,0.00838,2.06272,1.56497,0.70611,0.55999,0.62466,0.41621,0.00906,1.32215,1.61399,2.16154e-05,2.16154e-05,2.16154e-05
44,4586.54,0.00828,2.0363,1.54887,0.67454,0.55692,0.6251,0.41802,0.009,1.29391,1.61036,2.12491e-05,2.12491e-05,2.12491e-05
45,4687.87,0.00832,2.01412,1.56208,0.69711,0.5602,0.63155,0.42938,0.00871,1.31285,1.58223,2.08828e-05,2.08828e-05,2.08828e-05
46,4787.97,0.00836,2.0135,1.55691,0.71492,0.54361,0.62984,0.4167,0.00915,1.29552,1.62965,2.05165e-05,2.05165e-05,2.05165e-05
47,4889.46,0.00836,2.00546,1.55178,0.7008,0.57276,0.6355,0.43326,0.00861,1.25891,1.56629,2.01502e-05,2.01502e-05,2.01502e-05
48,4992.95,0.00835,1.98449,1.55797,0.68345,0.57666,0.64829,0.43143,0.00898,1.26117,1.60262,1.97839e-05,1.97839e-05,1.97839e-05
49,5094.95,0.00821,1.95894,1.5445,0.71148,0.56628,0.65416,0.44073,0.00888,1.2561,1.59016,1.94176e-05,1.94176e-05,1.94176e-05
