epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,646.5,0.01164,5.20745,1.93632,0.76718,0.04084,0.031,0.01814,0.01189,3.82704,1.97339,0.00333195,0.00333195,0.00333195
2,1369.25,0.01173,4.37902,1.95076,0.54824,0.08198,0.06257,0.03607,0.01232,3.33702,2.02024,0.0065993,0.0065993,0.0065993
3,2302.18,0.01159,4.06953,1.92865,0.48002,0.12634,0.07853,0.0431,0.01236,3.32594,2.02678,0.00980065,0.00980065,0.00980065
4,3367.79,0.01164,3.92716,1.91976,0.44523,0.1806,0.16114,0.09416,0.01228,2.9084,1.99478,0.009703,0.009703,0.009703
5,4171.27,0.01145,3.65285,1.88853,0.48094,0.22465,0.21211,0.12907,0.01201,2.62575,1.94243,0.009604,0.009604,0.009604
6,4979.8,0.01123,3.3693,1.84242,0.39256,0.31487,0.26436,0.15767,0.01194,2.43396,1.9004,0.009505,0.009505,0.009505
7,5648.45,0.01122,3.15638,1.83113,0.4347,0.33554,0.31837,0.17569,0.01235,2.22608,1.93105,0.009406,0.009406,0.009406
8,6355.61,0.01106,2.95277,1.80195,0.52419,0.33934,0.38688,0.21759,0.01245,2.13509,1.92999,0.009307,0.009307,0.009307
9,6994.41,0.01101,2.80037,1.7958,0.45772,0.39606,0.4053,0.24308,0.01168,2.03214,1.84315,0.009208,0.009208,0.009208
10,7566.75,0.01093,2.65771,1.78213,0.53366,0.42832,0.45736,0.26641,0.01197,1.87477,1.86505,0.009109,0.009109,0.009109
11,8132.75,0.01089,2.55163,1.76971,0.5543,0.42407,0.49448,0.28946,0.01188,1.82056,1.84318,0.00901,0.00901,0.00901
12,8701.95,0.01081,2.47051,1.7598,0.56047,0.4554,0.52229,0.31274,0.01152,1.72787,1.7834,0.008911,0.008911,0.008911
13,9393.52,0.01067,2.37114,1.74068,0.54729,0.48976,0.56493,0.32693,0.01155,1.70274,1.80726,0.008812,0.008812,0.008812
14,9941.66,0.01074,2.34544,1.75008,0.60114,0.49414,0.57197,0.33125,0.01194,1.62491,1.82606,0.008713,0.008713,0.008713
15,10578.3,0.0106,2.26067,1.72378,0.58546,0.51908,0.56288,0.32222,0.0119,1.61771,1.81819,0.008614,0.008614,0.008614
16,11150.9,0.01057,2.18688,1.72086,0.59745,0.55344,0.61668,0.35635,0.01206,1.56499,1.82777,0.008515,0.008515,0.008515
17,11790.1,0.01054,2.12085,1.70687,0.57704,0.58837,0.6289,0.37051,0.01134,1.47341,1.75726,0.008416,0.008416,0.008416
18,12472.1,0.01044,2.10961,1.70755,0.58171,0.59226,0.6433,0.37082,0.01165,1.45935,1.80153,0.008317,0.008317,0.008317
19,13102.7,0.01047,2.07503,1.70353,0.60915,0.60041,0.66666,0.38432,0.01167,1.4029,1.77465,0.008218,0.008218,0.008218
20,13845.1,0.01044,2.04948,1.69915,0.63074,0.58958,0.65701,0.38171,0.01149,1.36532,1.75292,0.008119,0.008119,0.008119
21,14494.1,0.01038,2.01039,1.69235,0.71199,0.57962,0.66322,0.39397,0.01124,1.33902,1.72519,0.00802,0.00802,0.00802
22,15149.3,0.01034,1.9558,1.6788,0.67146,0.63134,0.69991,0.41143,0.01138,1.28747,1.73136,0.007921,0.007921,0.007921
23,15807.8,0.01026,1.93427,1.67091,0.67346,0.6107,0.6935,0.40619,0.01147,1.26655,1.74004,0.007822,0.007822,0.007822
24,16735.1,0.01022,1.89529,1.66882,0.70786,0.61992,0.70579,0.40878,0.01148,1.23822,1.74175,0.007723,0.007723,0.007723
25,17446,0.01019,1.8776,1.6643,0.72191,0.63266,0.72495,0.42803,0.01142,1.20376,1.74133,0.007624,0.007624,0.007624
26,18133.8,0.01018,1.86849,1.66433,0.70418,0.64093,0.7381,0.44838,0.01129,1.17558,1.71613,0.007525,0.007525,0.007525
27,18882.4,0.01009,1.82541,1.64523,0.72878,0.63676,0.72753,0.43291,0.01111,1.15811,1.68683,0.007426,0.007426,0.007426
28,19503,0.01007,1.80307,1.64019,0.67459,0.68331,0.75074,0.44475,0.01134,1.13576,1.70529,0.007327,0.007327,0.007327
29,20224.2,0.01006,1.77896,1.63937,0.74489,0.66039,0.7533,0.45057,0.0111,1.13267,1.68101,0.007228,0.007228,0.007228
30,20911.7,0.01006,1.75614,1.64289,0.76866,0.64424,0.77537,0.4626,0.01104,1.09763,1.66757,0.007129,0.007129,0.007129
31,21557.9,0.01,1.75772,1.63113,0.74201,0.66462,0.77456,0.47122,0.0108,1.09225,1.64599,0.00703,0.00703,0.00703
32,22371.1,0.01001,1.73044,1.6335,0.74588,0.6713,0.77763,0.48002,0.0108,1.08714,1.63802,0.006931,0.006931,0.006931
33,23150.7,0.00998,1.7014,1.62313,0.75613,0.68057,0.77478,0.46478,0.01102,1.06486,1.6553,0.006832,0.006832,0.006832
